cluster_label,ENSG00000198712,ENSG00000198938,ENSG00000198886,ENSG00000198804,ENSG00000198899
0,5.59030496988743,4.896594682270169,4.672194522232646,3.8637591212945592,3.4465563437148217
1,5.578232300465116,4.903943423122923,4.648682678604651,3.81769406179402,3.3715443619933554
2,5.54250451065662,4.955407562055974,4.685897174488698,3.8632564278794406,3.2840447825618946
3,5.566307983782772,4.9421418586142325,4.680292267228465,3.810121253445693,3.4642638618352057
4,5.6000138386379925,4.8725249136200715,4.639285471218638,3.894664798422939,3.324369723476703
5,5.571475291657977,4.98558306173097,4.7257419529718465,3.8567518667361838,3.419203327007299
6,5.5475658517797175,4.954039273807925,4.667212830423103,3.8539541094694427,3.368318681665547
7,5.609760486634558,4.904343449729079,4.5813967435882,3.836764244972908,3.367065168874172
8,5.580367114161657,4.882971137675351,4.566179494054777,3.846819336606546,3.293907560253841
9,5.542898008939293,4.915784118679119,4.6480893216144095,3.766850535623749,3.4819500099066043
10,5.6361997692873125,4.852152207702141,4.519824565899648,3.8446571788750403,3.3221128288590602
11,5.591179650634518,4.907879861992385,4.643478096890862,3.8184652620558377,3.3418718799492386
12,5.566561574435196,4.922762989655172,4.660542008680142,3.908987365675783,3.230976926634958
13,5.54220410885989,4.860307962293956,4.589332661332417,3.807232214217033,3.2376900793956045
14,5.55633008221591,4.929845696136364,4.702657963352273,3.8263494265909093,3.429582705227273
15,5.573644974722222,4.921391418124999,4.642005602847222,3.800412514513889,3.457707790763889
16,5.583173113321168,4.913553888047446,4.632872814233576,3.914086552782847,3.301016448768248
17,5.584496040473933,4.985395656872038,4.745064981706161,3.9318559387677725,3.4199766421800946
18,5.542840320522194,4.894185990339426,4.647940762558746,3.7959173052741515,3.3883489855874673
19,5.61829237574074,4.933795545185186,4.661660301944444,3.868769100462963,3.461701716759259
20,5.584554833721934,4.95432806722798,4.712327431519862,3.8430224399395514,3.531021677892919
21,5.536156890141677,4.887062458441558,4.601425259563164,3.863529556493506,3.2246662602715466
22,5.5522744595111115,4.883251653688888,4.674614686311111,3.8676302710666666,3.3298883441333333
23,5.532025457395404,4.901208738185032,4.635973606364172,3.7832117087802004,3.33718667766647
24,5.565095307870211,4.957564623748706,4.704247150776665,3.898358081187435,3.320012312599241
25,5.567792762650603,4.939486799799197,4.703253979149934,3.8418805795850064,3.5603345588688087
26,5.597545855630631,4.9212272433558555,4.714852130405406,3.898546747747748,3.449915556306306
