Gene,Normal Range,Target Value,Abnormality
ENSG00000198804,"(-2785.304548162436, 27262.146811451734)",27545.104,Significantly More
ENSG00000198886,"(-2292.1420922910984, 16481.34319865788)",24991.7955,Significantly More
ENSG00000198712,"(-2497.340981841229, 21254.157373571248)",30836.3022,Significantly More
ENSG00000198938,"(-3131.7249888800725, 24057.577649662133)",27179.5975,Significantly More
ENSG00000210082,"(-1668.0723716269385, 15022.178773327087)",18584.2004,Significantly More
ENSG00000198899,"(-2005.8047981069258, 16812.59421523985)",19314.1762,Significantly More
ENSG00000198727,"(-931.7276539287286, 9268.054437079298)",17071.3739,Significantly More
ENSG00000184009,"(564.1905983906979, 2924.386193250659)",7627.888,Significantly More
ENSG00000111640,"(634.114848028339, 1868.8601593653593)",5027.3029,Significantly More
ENSG00000198888,"(-1336.8565253773659, 8441.163489600109)",13680.4237,Significantly More
ENSG00000161016,"(287.76848634643125, 2933.0752405934727)",4490.3535,Significantly More
ENSG00000198786,"(-392.8280004782034, 4030.9178390514962)",5518.7281,Significantly More
ENSG00000087086,"(-374.6932713540757, 3937.3818955080333)",12896.3744,Significantly More
ENSG00000102837,"(-745.3020103489637, 1316.312319267481)",3246.9139,Significantly More
ENSG00000070756,"(94.27133966613991, 512.9888350101949)",539.1257,Significantly More
ENSG00000197956,"(156.54281745835715, 4683.350429669543)",4792.3799,Significantly More
ENSG00000150991,"(1316.550016532411, 3887.6822928176844)",564.4688,Significantly Less
ENSG00000205542,"(359.50014555838175, 3138.545165669182)",4794.5074,Significantly More
ENSG00000089157,"(88.24922631150832, 1854.2653117362238)",2277.6062,Significantly More
ENSG00000149925,"(863.9190653358542, 2256.93828481332)",79.6056,Significantly Less
ENSG00000086548,"(-555.9627977364596, 1371.583821084743)",1879.7954,Significantly More
ENSG00000034510,"(-30.85309606913779, 3643.373532614859)",9894.3485,Significantly More
ENSG00000096384,"(60.15879042706425, 334.94221962584504)",1440.2383,Significantly More
ENSG00000211459,"(-576.2597236808592, 3353.873036621999)",3529.907,Significantly More
ENSG00000172757,"(823.9563856609724, 2345.5137703042806)",642.9033,Significantly Less
ENSG00000111057,"(77.11185575711562, 790.4641240362466)",2280.2101,Significantly More
ENSG00000231500,"(-461.19029783826204, 2465.6373422528304)",2744.9221,Significantly More
ENSG00000212907,"(-690.5129833466622, 7968.5308660272)",12127.7523,Significantly More
ENSG00000197746,"(1086.6772153657514, 3308.796073719983)",818.4475,Significantly Less
ENSG00000164924,"(453.23526013295407, 1134.5263856922998)",326.9497,Significantly Less
ENSG00000142534,"(135.23511949359317, 2162.78472323038)",4313.8815,Significantly More
ENSG00000185624,"(80.94347951761148, 538.2141223567769)",590.9122,Significantly More
ENSG00000119888,"(264.5042257001942, 1680.306421018118)",1786.1937,Significantly More
ENSG00000139644,"(911.0238513995644, 2795.345712110591)",722.2489,Significantly Less
ENSG00000179218,"(-40.32233394778149, 880.5016375142391)",1050.006,Significantly More
ENSG00000169100,"(248.5270048339716, 1202.2359339067452)",3084.2413,Significantly More
ENSG00000110321,"(810.5858338505507, 1833.481319350739)",270.0117,Significantly Less
ENSG00000166598,"(2.024193352841479, 344.89935070652143)",725.7356,Significantly More
ENSG00000087460,"(198.48495349817895, 512.6555350793087)",100.3593,Significantly Less
ENSG00000177600,"(412.8980157942883, 1893.7517525407943)",2102.0743,Significantly More
ENSG00000255508,"(89.20852710729241, 483.0534186087558)",1.3923,Significantly Less
ENSG00000137818,"(129.55915452464978, 1004.0371789771932)",1939.9603,Significantly More
ENSG00000147403,"(95.33641502835974, 1002.9107108902841)",1238.141,Significantly More
ENSG00000160180,"(-1252.1571227122724, 4571.53598948657)",6250.4397,Significantly More
ENSG00000115053,"(32.62375452245979, 244.38175535494068)",280.417,Significantly More
ENSG00000127022,"(50.49176816628642, 160.61601798078956)",255.5169,Significantly More
ENSG00000105193,"(29.25406856956306, 1501.9167912962475)",1701.0591,Significantly More
ENSG00000140988,"(91.24944606267394, 569.131989647942)",2801.8187,Significantly More
ENSG00000142676,"(291.3653210107054, 952.5478463562949)",1031.246,Significantly More
ENSG00000170315,"(639.2658995132767, 1765.0959479217352)",357.8672,Significantly Less
ENSG00000258017,"(45.80670638539141, 1192.2634263971481)",0.1642,Significantly Less
ENSG00000145592,"(322.6931396459565, 1246.8387748661812)",232.27,Significantly Less
ENSG00000142541,"(31.143414497932326, 810.4415335774167)",2178.2156,Significantly More
ENSG00000196230,"(-22.27916734316895, 321.6699229410626)",625.9655,Significantly More
ENSG00000044574,"(-1.2433320219651591, 222.61826373843178)",466.4268,Significantly More
ENSG00000167553,"(173.77405561270416, 1098.51452725338)",121.3691,Significantly Less
ENSG00000108518,"(343.7850442714505, 1351.3967715237072)",1838.4691,Significantly More
ENSG00000171858,"(-26.623618627054952, 1325.4284155610808)",2380.6634,Significantly More
ENSG00000213719,"(130.30344297251457, 548.1081557094446)",946.2424,Significantly More
ENSG00000176153,"(-248.02815620640814, 898.2162938471472)",1278.3806,Significantly More
ENSG00000182774,"(206.88834497150458, 1212.992275358271)",12.0106,Significantly Less
ENSG00000158710,"(138.43207414264276, 552.7053877329558)",915.8097,Significantly More
ENSG00000115677,"(340.36122155180374, 1216.8720798223246)",148.1806,Significantly Less
ENSG00000148346,"(-470.9016704569128, 862.2024089996803)",2755.2838,Significantly More
ENSG00000264772,"(25.171797811727117, 150.5786672801809)",0.0331,Significantly Less
ENSG00000144381,"(14.494318697988206, 154.6719201040082)",335.243,Significantly More
ENSG00000162244,"(42.62176098213007, 942.0152313163587)",1124.2663,Significantly More
ENSG00000196531,"(176.30334493956548, 620.9715583330419)",170.3744,Significantly Less
ENSG00000198755,"(5.190591644281199, 728.9972157846519)",1296.6418,Significantly More
ENSG00000178209,"(-5.687412594441398, 74.5253644378597)",160.0087,Significantly More
ENSG00000157557,"(-6.333293559876012, 142.7354546843024)",330.086,Significantly More
ENSG00000064651,"(3.35974804763498, 85.85208229117858)",221.6839,Significantly More
ENSG00000166913,"(273.7397462511, 549.8884593293708)",155.1317,Significantly Less
ENSG00000188229,"(85.10774621917608, 405.8046378695806)",1161.5713,Significantly More
ENSG00000084234,"(517.314451691147, 1758.7511932648667)",177.0057,Significantly Less
ENSG00000084207,"(143.31866648788025, 511.6183289739747)",1324.1614,Significantly More
ENSG00000148303,"(53.92179845180419, 480.9673484343083)",1796.1628,Significantly More
ENSG00000099194,"(-51.83217442799548, 86.88817587415349)",764.569,Significantly More
ENSG00000118705,"(105.58685284750953, 476.8576238512341)",612.8134,Significantly More
ENSG00000111669,"(240.75100227641667, 626.3341481106663)",1116.81,Significantly More
ENSG00000250644,"(96.05190274887889, 798.7894003807838)",0.3136,Significantly Less
ENSG00000161011,"(231.617379917425, 751.205284466663)",131.0006,Significantly Less
ENSG00000165119,"(106.50125314895132, 234.93087242249004)",285.901,Significantly More
ENSG00000112306,"(92.5123102863771, 943.137610753611)",4240.4891,Significantly More
ENSG00000117335,"(29.26924646571154, 92.33910354744793)",102.1188,Significantly More
ENSG00000243678,"(62.51305876687064, 628.0430993703633)",26.8155,Significantly Less
ENSG00000142089,"(-647.760954045573, 1603.0042050823274)",2933.2092,Significantly More
ENSG00000161960,"(71.15211206446031, 743.360530059318)",3.7114,Significantly Less
ENSG00000132475,"(246.25512524989853, 737.5146041179912)",156.1042,Significantly Less
ENSG00000137309,"(22.423550215804667, 154.28217511709977)",809.8345,Significantly More
ENSG00000260032,"(19.17233417782059, 64.17673317558459)",191.1617,Significantly More
ENSG00000136942,"(-37.78923685543282, 848.5069670016892)",1181.0295,Significantly More
ENSG00000167004,"(10.432396861813658, 313.11175511735473)",426.7408,Significantly More
ENSG00000140264,"(141.601977846841, 951.2409591134592)",124.1753,Significantly Less
ENSG00000198668,"(339.5772386921973, 1807.6385354156673)",171.5314,Significantly Less
ENSG00000009307,"(38.94675520442476, 194.1759834870625)",194.7341,Significantly More
ENSG00000013364,"(255.86070354703065, 2071.344561530176)",194.0732,Significantly Less
ENSG00000152234,"(484.9239951457913, 1177.7908562536618)",92.9384,Significantly Less
ENSG00000197958,"(34.821056025218866, 612.6171338363579)",1188.2137,Significantly More
ENSG00000044115,"(386.32729287062205, 1242.951882325768)",160.5632,Significantly Less
ENSG00000101444,"(11.635269188353206, 156.50748931290127)",302.6548,Significantly More
ENSG00000112378,"(16.304300901793038, 59.94779672998244)",180.8745,Significantly More
ENSG00000196262,"(37.16167877464242, 161.564739410369)",221.3175,Significantly More
ENSG00000197111,"(125.50577520945784, 336.5941960003811)",76.7618,Significantly Less
ENSG00000072274,"(-20.800561347992684, 123.8190592871779)",249.9874,Significantly More
ENSG00000104529,"(88.8741656143244, 479.33775261832636)",39.7817,Significantly Less
ENSG00000163931,"(27.492111251992625, 158.0188202494162)",224.5178,Significantly More
ENSG00000046604,"(85.27752940370027, 616.8810850918892)",81.7458,Significantly Less
ENSG00000143549,"(108.81080289193835, 530.0647175840048)",63.3184,Significantly Less
ENSG00000198561,"(33.62974165590986, 150.3057249321716)",4.7132,Significantly Less
ENSG00000155660,"(-10.276396061337962, 172.12123642214806)",356.6637,Significantly More
ENSG00000147140,"(34.096488554416794, 98.73961933970162)",127.4671,Significantly More
ENSG00000132507,"(5.010519019294037, 396.9963869178779)",751.4879,Significantly More
ENSG00000126432,"(21.328841046542834, 980.9221546697153)",2272.9452,Significantly More
ENSG00000168028,"(-51.77838251333685, 498.1588311618906)",657.2851,Significantly More
ENSG00000185885,"(-234.028702868593, 671.3806552005613)",1813.4703,Significantly More
ENSG00000168385,"(103.20000360567587, 811.8353853736637)",97.9506,Significantly Less
ENSG00000141522,"(306.0405600582731, 851.564832508149)",245.4943,Significantly Less
ENSG00000077147,"(176.74840023794494, 586.3155079964904)",147.7495,Significantly Less
ENSG00000065978,"(85.69774202539824, 381.96501276728316)",536.4275,Significantly More
ENSG00000185896,"(48.61392251285102, 147.3185162439125)",157.6001,Significantly More
ENSG00000197694,"(77.23890092891696, 772.0677463543102)",76.0899,Significantly Less
ENSG00000245970,"(22.994356042497103, 165.3493721469875)",3.1074,Significantly Less
ENSG00000163191,"(-67.47693146798721, 407.66715901027567)",2774.0651,Significantly More
ENSG00000130726,"(137.77340283256433, 397.2619952929415)",572.8446,Significantly More
ENSG00000089009,"(90.28570134226766, 449.19512859566794)",551.868,Significantly More
ENSG00000181163,"(19.178891846701518, 187.12988080614042)",213.9947,Significantly More
ENSG00000058262,"(27.818183077156903, 114.03439756376648)",260.233,Significantly More
ENSG00000086598,"(45.26733915422565, 301.7501483376261)",330.282,Significantly More
ENSG00000125304,"(202.25678828388334, 621.2313333098868)",98.1506,Significantly Less
ENSG00000102804,"(149.08766704904616, 770.7040105437284)",68.7016,Significantly Less
ENSG00000218537,"(8.337554316146466, 143.08238530117683)",0.3064,Significantly Less
ENSG00000136156,"(132.00024604016022, 735.20854904249)",44.5835,Significantly Less
ENSG00000260342,"(0.04393591103843164, 599.8922236586402)",0.0,Significantly Less
ENSG00000185825,"(143.4217076748472, 293.1326783093057)",546.8622,Significantly More
ENSG00000141753,"(-66.84273692197453, 409.0084231157771)",464.6144,Significantly More
ENSG00000184110,"(87.75472689340125, 594.8312177203295)",3.3306,Significantly Less
ENSG00000165215,"(10.372952001354065, 535.369157156484)",1679.276,Significantly More
ENSG00000117450,"(54.42999178262329, 327.9174599629437)",370.2347,Significantly More
ENSG00000108639,"(-1.488696844100474, 274.2918619688521)",283.3339,Significantly More
ENSG00000014216,"(274.67301200034603, 849.7977113235061)",157.2136,Significantly Less
ENSG00000110958,"(64.71896512793867, 200.73015860024427)",387.9322,Significantly More
ENSG00000125534,"(74.5373780923112, 1038.025866508093)",1122.3688,Significantly More
ENSG00000169564,"(111.49990540348345, 241.82889505384526)",89.1213,Significantly Less
ENSG00000105568,"(249.2611915431898, 440.597264272682)",158.8199,Significantly Less
ENSG00000279605,"(10.159768011392742, 66.3749717711142)",1.4931,Significantly Less
ENSG00000104964,"(169.15698684276921, 587.7812425119758)",130.5934,Significantly Less
ENSG00000079246,"(193.98945820489072, 510.22409359699304)",131.8999,Significantly Less
ENSG00000169813,"(42.25894138524005, 135.87339418820778)",302.652,Significantly More
ENSG00000204580,"(110.0535646534438, 871.3543088350759)",77.1581,Significantly Less
ENSG00000130066,"(18.31569496999512, 509.59028569072746)",728.6897,Significantly More
ENSG00000113013,"(21.55804213626397, 71.31947417422933)",114.0232,Significantly More
ENSG00000113648,"(75.40734112144571, 187.93383875092388)",58.3176,Significantly Less
ENSG00000175130,"(6.174674950543945, 203.42130059791822)",612.4452,Significantly More
ENSG00000131238,"(76.84187534914246, 226.245116842448)",51.6348,Significantly Less
ENSG00000140575,"(231.18194735564634, 877.3391823222439)",58.7293,Significantly Less
ENSG00000205609,"(19.465763753638925, 126.61695492511566)",0.0,Significantly Less
ENSG00000122359,"(288.17812231787224, 640.9424175672889)",108.0532,Significantly Less
ENSG00000116251,"(132.3124512438932, 436.56635460176346)",97.4603,Significantly Less
ENSG00000119335,"(38.12299935213365, 170.1501936378845)",188.7879,Significantly More
ENSG00000105699,"(27.6052592043649, 290.50716432192996)",714.9097,Significantly More
ENSG00000184640,"(132.11409021137416, 722.3663366817877)",78.2679,Significantly Less
